name,url,cost,delivery,group_or_individual,length,review_pros,review_cons,specialism,type,rating
Asserting Yourself Positively,https://prospectus.governmentcampus.co.uk/03-personal-effectiveness/xcs-asserting-yourself-positively/ PECD003V01,"£2,900 (10-16, virtual / F2F)",virtual or F2F,Group,3.5 hours,This course is designed to help you recognise what assertive behaviour looks like and the skills you may need to develop to become more assertive yourself. It will help you determine where you currently stand on the ‘assertiveness continuum’ and to identify the emotional triggers which affect your behaviour.,,,,3
Building Effective Teams,https://prospectus.governmentcampus.co.uk/03-leadership-and-management/xcs-building-effective-teams/ LMBT003V01,"£2,920 (0-16, virtual / F2F)",virtual or F2F,Both,3.5 hours,"An effective team typically features people with complementary skills, committed to a common purpose, goals and approach for which they hold themselves mutually accountable. It’s likely to have a firm identity, a shared history and a collective understanding of what’s important to both individuals and the team as a whole. Creating such an environment is a crucial part of any leader’s job.",,,,3
Career Conversations,Product ID OTS06165 https://bookings.governmentcampus.co.uk/form/AddEvents,"£1,994 (6-12 people, virtual or F2F)",virtual or F2F,Group,2 hours,,,,,5
Change Agility,https://prospectus.governmentcampus.co.uk/03-leadership-and-management/change-agility/,"£2,500 (0-24 people, virtual or F2F)",virtual or F2F,Both,1.5 hours,"This course is all about developing an agile mindset, meaning that change – even when it occurs on a regular basis – won’t faze you. When enduring change, we can sometimes develop damaging behavioural patterns which can be difficult to shake off in the long run. Change agility is about spotting these behavioural patterns and challenging the assumptions which sit behind them.",,,,1
Part 1: Civil Service Virtual Teaming: Virtual Strengths Discovery,https://prospectus.governmentcampus.co.uk/03-leadership-and-management/xcs-civil-service-virtual-teaming-virtual-strengths-discovery/,"£1,251 (16 people, virtual / F2F)",virtual or F2F,Group,1.5 hours,"This VLE introduces the strengths approach to personal and team development. This module’s learning activities follow a positive psychology model, focusing on people’s strengths, what they enjoy, what energises them and what they’re good at.",,,,2
Part 2: Civil Service Virtual Teaming,https://prospectus.governmentcampus.co.uk/03-leadership-and-management/xcs-civil-service-virtual-teaming/,"£1,251 (16 people, virtual / F2F)",,Group,1.5 hours,"Part of a 3-module virtual learning series, this 2nd module considers the context which the team currently operates in and how to create a strong working foundation.",,,,4
Part 3: Civil Service Virtual teaming: facing challenges together,https://prospectus.governmentcampus.co.uk/03-leadership-and-management/xcs-civil-service-virtual-teaming-facing-challenges-together/,"£1,251 (16 people, virtual / F2F)",virtual or F2F,Group,1.5 hours,"As part of a 3-module virtual learning series, this 3rd module focuses on working positively together on a current challenge to build resilience, hope, efficacy and optimism.",,,,3
Conducting High Quality Conversations Virtual new 14/10/2021,https://prospectus.governmentcampus.co.uk/03-leadership-and-management/xcs-conducting-high-quality-conversations/,Free,virtual or F2F,Individual,4.5 hours,Work through this learning totally online and discover ways to move a potentially difficult conversation onto a more positive footing. You get to review real-life conversations and situations and consider different techniques for dealing with them.,,,,3
Continuous Improvement and Lean,https://prospectus.governmentcampus.co.uk/01-customer/xcs-continuous-improvement-and-lean/,"£392 (1 person, virtual)
£3,500 (1-12 people, virtual / F2F)",virtual or F2F,Both,2 days,"This topic explains lean principles and how to apply them to your customer service environment. It also covers the 8 different kinds of waste and how they distract time and resources from more valuable, useful work. It demonstrates how a collaborative team effort to systematically removing waste can lead to improved performance.",,,,5
3-day Lean Practitioner (Lean Practitioner - BCQ or LCS accredited - includes exam),https://prospectus.governmentcampus.co.uk/04-service-management/lean-practitioner-bqf-or-lcs-accredited/,"£547 (per person public)
£10,070 (6-12 people private F2F)
£9,747 (6-12 people private virtual)",virtual or F2F,Both,3 days,"The programme provides a comprehensive understanding of the principles, concepts and origins of Lean thinking and how they have evolved, including an awareness of the Toyota Way philosophy and principles. Importantly, the focus is on applying these techniques in both a service and manufacturing environment.",,,,1
